Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Tissue
SRR10285311,ChIP-Seq,65,1991656810,PRJNA577711,SAMN13034764,931557403,GEO,H3K79me2 (Milipore 04-835),public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX6998303,GSM4121495,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2020-07-30T00:00:00Z,GSM4121495,WT Thymus,SRP225792,C57BL/6,Thymus CD8 SP
SRR10285312,ChIP-Seq,65,4238229645,PRJNA577711,SAMN13034763,1966587499,GEO,H3K79me2 (Milipore 04-835),public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6998304,GSM4121496,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2020-07-30T00:00:00Z,GSM4121496,WT Thymus,SRP225792,C57BL/6,Thymus CD8 SP
SRR10285313,ChIP-Seq,65,12531258480,PRJNA577711,SAMN13034762,5911293231,GEO,H3K79me2 (Milipore 04-835),public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6998305,GSM4121497,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2020-07-30T00:00:00Z,GSM4121497,WT Spleen Naïve,SRP225792,C57BL/6,Spleen naïve CD44- CD62L+
SRR10285314,ChIP-Seq,65,2329768025,PRJNA577711,SAMN13034761,1096568445,GEO,H3K79me2 (Milipore 04-835),public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6998306,GSM4121498,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2020-07-30T00:00:00Z,GSM4121498,WT Spleen Naïve,SRP225792,C57BL/6,Spleen naïve CD44- CD62L+
SRR10285315,ChIP-Seq,65,2943071365,PRJNA577711,SAMN13034760,1310782113,GEO,H3K79me2 (Milipore 04-835),public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6998307,GSM4121499,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2020-07-30T00:00:00Z,GSM4121499,WT Spleen Memory,SRP225792,C57BL/6,Spleen memory CD44+ CD62L+
SRR10285316,ChIP-Seq,65,2804522760,PRJNA577711,SAMN13034759,1261886584,GEO,H3K79me2 (Milipore 04-835),public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6998308,GSM4121500,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2020-07-30T00:00:00Z,GSM4121500,WT Spleen Memory,SRP225792,C57BL/6,Spleen memory CD44+ CD62L+
SRR10285317,ChIP-Seq,65,1793512630,PRJNA577711,SAMN13034758,846573942,GEO,"H3K4me3 (Abcam\, ab8580)",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6998309,GSM4121501,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2020-07-30T00:00:00Z,GSM4121501,WT Spleen Memory,SRP225792,C57BL/6,Spleen memory CD44+ CD62L+
