Run,LibraryLayout,condition,name,Input
SRR2075567,SINGLE,Tbet_LCMVarm-D8-CD8-WT,Tbet-WT_1,Input_WT
SRR2075568,SINGLE,Tbet_LCMVarm-D8-CD8-WT,Tbet-WT_2,Input_WT
SRR2075569,SINGLE,Tbet_LCMVarm-D8-CD8-Zeb2KO,Tbet-Zeb2KO_1,Input_Zeb2KO
SRR2075570,SINGLE,Tbet_LCMVarm-D8-CD8-Zeb2KO,Tbet-Zeb2KO_2,Input_Zeb2KO
SRR2075583,SINGLE,Tbet_LCMVarm-D8-CD8-Il12-WT,Tbet-Il12_1,Input_Il12
SRR2075584,SINGLE,Input_LCMVarm-D8-CD8-Il12-WT,Input_Il12_1,
SRR2075585,SINGLE,Input_LCMVarm-D8-CD8-WT,Input_WT_1,
SRR2075586,SINGLE,Input_LCMVarm-D8-CD8-Zeb2KO,Input_Zeb2KO_1,
