Run,LibraryLayout,condition,name,Input
SRR1731126,SINGLE,Input_invitro-CD8-WT,Input_WT_1,
SRR1731127,SINGLE,Input_invitro-CD8-Nfat1KO,Input_Nfat1KO_1,
SRR1731128,SINGLE,Input_invitro-CD8-Nfat1KO-CA-RIT-RV,Input_Nfat1KO-CANfat1_1,
SRR1731129,SINGLE,Input_invitro-CD8-PI-1h-WT,Input_WT-PI_1,
SRR1731130,SINGLE,Input_invitro-CD8-PI-1h-Nfat1KO,Input_Nfat1KO-PI_1,
SRR1731131,SINGLE,Input_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,Input_Nfat1KO-CANfat1-PI_1,
SRR1731132,SINGLE,Nfat1_invitro-CD8-WT,Nfat1-WT_1,Input_WT
SRR1731133,SINGLE,Nfat1_invitro-CD8-Nfat1KO,Nfat1-Nfat1KO_1,Input_Nfat1KO
SRR1731134,SINGLE,Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,Nfat1-Nfat1KO-CANfat1_1,Input_Nfat1KO-CANfat1
SRR1731135,SINGLE,Nfat1_invitro-CD8-PI-1h-WT,Nfat1-WT-PI_1,Input_WT-PI
SRR1731136,SINGLE,Nfat1_invitro-CD8-PI-1h-Nfat1KO,Nfat1-Nfat1KO-PI_1,Input_Nfat1KO-PI
SRR1731137,SINGLE,Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,Nfat1-Nfat1KO-CANfat1-PI_1,Input_Nfat1KO-CANfat1-PI
