Run,LibraryLayout,condition,name,Input
SRR6228881,PAIRED,H3K9me3_native_invitro-d0-CD8-WT,H3K9me3-d0-native_1,Input_d0-native
SRR6228882,PAIRED,Input_native_invitro-d0-CD8-WT,Input_d0-native_1,
SRR6228883,PAIRED,H3K9me3_native_invitro-d3-CD8-WT,H3K9me3-d3-native_1,Input_d3-native
SRR6228884,PAIRED,Input_native_invitro-d3-CD8-WT,Input_d3-native_1,
SRR6228885,PAIRED,H3K9me3_invitro-d3-CD8-WT,H3K9me3-d3_1,Input_d3
SRR6228886,PAIRED,Input_invitro-d3-CD8-WT,Input_d3_1,
SRR6228887,PAIRED,H3K9me3_invitro-d3-CD8-Suv39h1KO,H3K9me3-Suv39h1KO-d3_1,Input_Suv39h1KO-d3
SRR6228888,PAIRED,Input_invitro-d3-CD8-Suv39h1KO,Input_Suv39h1KO-d3_1,
