Run,LibraryLayout,condition,name,Input
SRR955610,SINGLE,Runx3_invitro-Il2-CD8,Runx3IL2_1,Input_IL2
SRR955611,SINGLE,Runx3_invitro-Il2-CD8,Runx3IL2_2,Input_IL2
SRR955612,SINGLE,Input_invitro-Il2-CD8,Input_IL2_1,
SRR955613,SINGLE,Input_invitro-Il2-CD8,Input_IL2_2,
SRR955614,SINGLE,H3K4me1_invitro-Il2-CD8,H3K4me1IL2_1,Input_IL2
SRR955620,SINGLE,Runx3_invitro-NAV-CD8,Runx3NAV_1,Input_NAV
SRR955621,SINGLE,Runx3_invitro-NAV-CD8,Runx3NAV_2,Input_NAV
SRR955622,SINGLE,Runx3_invitro-NAV-CD8,Runx3NAV_3,Input_NAV
SRR955623,SINGLE,Input_invitro-NAV-CD8,Input_NAV_1,
SRR955624,SINGLE,Input_invitro-NAV-CD8,Input_NAV_2,
SRR955625,SINGLE,H3K4me1_invitro-NAV-CD8,H3K4me1NAV_1,Input_NAV
SRR955626,SINGLE,H3K4me1_invitro-NAV-CD8,H3K4me1NAV_2,Input_NAV
