Run,LibraryLayout,condition,name,Input
SRR1124795,SINGLE,BATF-invitro-d3-CD8,BATF_1,Input_all
SRR1124796,SINGLE,BATF-invitro-d3-CD8,BATF_2,Input_all
SRR1124797,SINGLE,IRF4-invitro-d3-CD8,IRF4_1,Input_all
SRR1124798,SINGLE,IRF4-invitro-d3-CD8,IRF4_2,Input_all
SRR1124799,SINGLE,cJun-invitro-d3-CD8,cJun_1,Input_all
SRR1124800,SINGLE,JunB-invitro-d3-CD8,JunB_1,Input_all
SRR1124801,SINGLE,JunD-invitro-d3-CD8,JunD_1,Input_all
SRR1124802,SINGLE,H3K4me1-invitro-d3-CD8,H3K4me1_1,Input_all
SRR1124803,SINGLE,H3K4me1-invitro-d3-CD8,H3K4me1_2,Input_all
SRR1124804,SINGLE,H3K4me3-invitro-d3-CD8,H3K4me3_1,Input_all
SRR1124805,SINGLE,H3K4me3-invitro-d3-CD8,H3K4me3_2,Input_all
SRR1124806,SINGLE,H3K27ac-invitro-d3-CD8,H3K27ac_1,Input_all
SRR1124807,SINGLE,H3K27ac-invitro-d3-CD8,H3K27ac_2,Input_all
SRR1124808,SINGLE,H3K27me3-invitro-d3-CD8,H3K27me3_1,Input_all
SRR1124809,SINGLE,H3K27me3-invitro-d3-CD8,H3K27me3_2,Input_all
SRR1124810,SINGLE,H3K36me3-invitro-d3-CD8,H3K36me3_1,Input_all
SRR1124811,SINGLE,H3K36me3-invitro-d3-CD8,H3K36me3_2,Input_all
SRR1124812,SINGLE,H3-invitro-d3-CD8,H3_1,Input_all
SRR1124813,SINGLE,H3-invitro-d3-CD8,H3_2,Input_all
SRR1124814,SINGLE,IgG-invitro-d3-CD8,IgG_1,Input_all
SRR1124815,SINGLE,Input_invitro-d3-CD8,Input_all_1,
SRR1124816,SINGLE,Input_invitro-d3-CD8,Input_all_2,
SRR1124817,SINGLE,Input_invitro-d3-CD8,Input_all_3,
