ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-202427,Phosphorylation of CD3 and TCR zeta chains,5/214,12/8828,5.508254690219709e-6,0.003371051870414462,0.003102017115018468,19264/94212/19260/16818/12500,5
R-MMU-451927,Interleukin-2 family signaling,7/214,34/8828,1.3743217643156138e-5,0.004205424598805778,0.003869800757415017,20849/18708/19229/16185/20662/16184/16818,7
R-MMU-2424491,DAP12 signaling,7/214,51/8828,2.085296970540537e-4,0.04254005819902695,0.039145048394357444,18708/14972/110557/15018/15007/20662/16818,7
