Reference,Run
2015_JEM_Dominguez_simplified,SRR2075584
2015_JEM_Dominguez_simplified,SRR2075585
2015_JEM_Dominguez_simplified,SRR2075586
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203617
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203618
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203619
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203620
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203621
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203622
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203623
